区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,京城仁合 ,3室2厅,121.17,1200,99035,房本满五年,东南,精装,无,中楼层(共16层)2004年建板塔结合,,-
东城,法华南里 ,3室1厅,113.14,970,85735,房本满五年,南北,精装,无,中楼层(共6层)1996年建板楼,,-
东城,青年湖北里 ,3室1厅,112.08,1150,102606,房本满五年,西南,精装,有电梯,底层(共18层)1999年建塔楼,,-
东城,国瑞城中区 ,2室1厅,77.39,840,108542,房本满五年,南北,简装,无,中楼层(共16层)2006年建板塔结合,,-
东城,安贞苑50号院 ,2室1厅,65.65,628,95659,房本满五年,南北,简装,无电梯,高楼层(共6层)1996年建板楼,,-
东城,香饵胡同 ,3室1厅,81.68,1000,122429,房本满五年,西南北,精装,无电梯,中楼层(共6层)2002年建板楼,,-
东城,金世纪嘉园 ,2室1厅,116.89,1010,86407,房本满五年,西南,精装,无,中楼层(共21层)2003年建塔楼,,-
东城,和平里一区 ,2室1厅,58.99,560,94932,房本满五年,东西北,简装,无电梯,中楼层(共5层)1990年建板楼,,-
东城,兴化西里 ,3室2厅,62.91,600,95375,房本满五年,南,简装,无,底层(共5层)1976年建板楼,,-
东城,兴隆都市馨园 ,2室1厅,78.37,815,103994,房本满五年,东南,精装,无电梯,中楼层(共6层)2003年建板塔结合,,-
东城,天天家园 ,2室1厅,102.06,730,71527,房本满五年,东南,精装,无,中楼层(共11层)2002年建板塔结合,,-
东城,北官厅胡同 ,3室1厅,71.51,893,124878,房本满五年,东南北,精装,有电梯,中楼层(共16层)1993年建塔楼,,-
东城,东直门北大街 ,2室1厅,60.11,600,99818,房本满五年,南北,精装,有电梯,中楼层(共14层)1990年建板塔结合,,-
东城,华龙美晟 ,2室1厅,80.07,640,79931,房本满五年,西,精装,有电梯,中楼层(共12层)2009年建板塔结合,,-
东城,国瑞城中区 ,1室1厅,55.43,585,105539,房本满五年,北,精装,无,中楼层(共16层)2006年建板塔结合,,-
东城,青年湖东里 ,2室1厅,55.42,580,104656,房本满五年,南北,精装,无电梯,底层(共6层)1988年建板楼,,-
东城,灯市口大街 ,3室1厅,78.09,880,112691,房本满五年,南,精装,无,中楼层(共11层)1990年建板塔结合,,-
东城,景泰西里西区 ,2室1厅,90.32,660,73074,房本满五年,东西,精装,无,高楼层(共13层)2005年建板塔结合,,-
东城,北新桥三条 ,2室1厅,48.61,520,106974,房本满五年,南,简装,无,高楼层(共6层)1985年建板楼,,-
东城,雍和家园一期 ,3室1厅,171.06,1580,92366,房本满五年,东南北,精装,有电梯,低楼层(共16层)2001年建板塔结合,,-
东城,和平里一区 ,3室1厅,64.36,643.5,99985,房本满五年,南北,简装,无,低楼层(共11层)1990年建板塔结合,,-
东城,水上华城 ,1室1厅,71.93,730,101488,房本满五年,西,简装,无,中楼层(共22层)2006年建板塔结合,,-
东城,本家润园三期 ,2室1厅,69.74,697,99943,房本满五年,东,简装,有电梯,高楼层(共18层)2005年建板塔结合,,-
东城,绿景苑 ,3室1厅,89.53,890,99409,房本满五年,南西北,简装,无,高楼层(共18层)2002年建塔楼,,-
东城,远洋德邑 ,2室1厅,106.28,1060,99737,房本满五年,东,精装,有电梯,中楼层(共14层)2002年建板塔结合,,-
东城,东方银座 ,2室1厅,107.45,920,85622,房本满五年,南,精装,有电梯,中楼层(共25层)2003年建塔楼,,-
东城,察慈小区 ,2室1厅,64.56,550,85193,房本满五年,东西,简装,有电梯,低楼层(共12层)1990年建板塔结合,,-
东城,鸿安国际大厦 ,3室1厅,206.7,1350,65313,房本满五年,东西,简装,有电梯,中楼层(共13层)2003年建板塔结合,,-
东城,新景家园东区 ,1室1厅,66.87,700,104681,,东西,精装,有电梯,高楼层(共15层)2008年建板塔结合,,-
东城,万国城MOMA ,2室1厅,127.31,1350,106041,,西北,精装,无,低楼层(共25层)2002年建塔楼,,-
东城,富莱茵花园 ,2室1厅,63.06,441,69934,房本满五年,南,简装,有电梯,高楼层(共21层)1995年建塔楼,,-
东城,天天家园 ,2室2厅,112.77,800,70941,房本满五年,西北,简装,有电梯,高楼层(共11层)2002年建板塔结合,,-
东城,东直门内北小街16号 ,2室2厅,89.74,960,106976,房本满五年,东西,简装,无,高楼层(共10层)2003年建板塔结合,,-
东城,朝阳门北大街 ,3室1厅,70.44,600,85179,房本满五年,东北,简装,有电梯,低楼层(共16层)1987年建塔楼,,-
东城,和平里东街9号院 ,2室1厅,79.88,770,96395,房本满五年,东北,精装,有电梯,高楼层(共16层)2000年建塔楼,,-
东城,青年湖北里 ,2室1厅,75.43,800,106059,房本满五年,西南,精装,有电梯,低楼层(共18层)1999年建塔楼,,-
东城,安外西河沿 ,2室1厅,63.7,620,97332,房本满五年,东西,简装,无,顶层(共11层)1983年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,77.21,857,110996,房本满五年,西,精装,无,低楼层(共16层)2003年建板楼,,-
东城,朝阳门南小街 ,2室1厅,68.04,816,119930,房本满五年,东西,精装,无,低楼层(共11层)2004年建板塔结合,,-
东城,巷上嘉园 ,2室1厅,89.63,940,104876,房本满五年,东北,精装,无,中楼层(共12层)2005年建板塔结合,,-
东城,海运仓南里一区 ,2室1厅,78.14,800,102381,房本满五年,东西,其他,无,底层(共6层)1998年建板楼,,-
东城,李村南里 ,3室1厅,76.91,599,77884,房本满五年,南北,简装,无,低楼层(共6层)1990年建板楼,,-
东城,广渠家园 ,2室2厅,71.43,642,89879,房本满五年,东,毛坯,有电梯,高楼层(共29层)2009年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,74.47,830,111455,房本满五年,南北,简装,无,高楼层(共16层)2003年建板楼,,-
东城,华龙美晟 ,2室1厅,84,630,75000,房本满五年,西,简装,有电梯,底层(共12层)2009年建板塔结合,,-
东城,北官厅胡同甲二号院 ,4室1厅,91.71,1080,117763,房本满五年,南北,简装,无电梯,低楼层(共6层)1993年建板楼,,-
东城,国瑞城中区 ,1室1厅,61.99,670,108082,房本满五年,南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,香饵胡同 ,2室1厅,69.14,880,127278,房本满五年,南北,简装,无电梯,低楼层(共6层)2002年建板楼,,-
东城,景泰西里西区 ,2室1厅,61.02,465,76205,房本满五年,南,其他,有电梯,中楼层(共9层)2005年建板塔结合,,-
东城,湖景苑 ,4室2厅,146.65,1880,128197,房本满五年,东南西,精装,有电梯,顶层(共10层)2003年建板塔结合,,-
东城,幸福家园一期 ,3室2厅,139.69,1520,108813,房本满五年,南北,精装,有电梯,低楼层(共12层)2002年建板塔结合,,-
东城,朝阳门南小街 ,1室1厅,54.61,655,119942,房本满五年,东,其他,有电梯,中楼层(共14层)2004年建板塔结合,,-
东城,新景家园西区 ,2室1厅,74.04,820,110751,房本满五年,西南,精装,无,中楼层(共16层)2004年建板楼,,-
东城,桃杨路北里 ,2室1厅,57.3,465,81152,,东西,简装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,东直门内大街 ,2室1厅,80.44,880,109399,,西南,简装,无,高楼层(共16层)2002年建塔楼,,-
东城,小黄庄一区 ,2室1厅,110.93,1100,99162,,南北,简装,无,高楼层(共13层)1998年建板塔结合,,-
东城,天娇园 ,3室1厅,97.58,1020,104530,,西,简装,有电梯,低楼层(共11层)2008年建板塔结合,,-
东城,东花市北里中区 ,2室2厅,103.41,1030,99604,,南北,简装,无电梯,中楼层(共5层)1994年建板楼,,-
东城,花市枣苑一期 ,2室2厅,108.24,1280,118256,,南,简装,有电梯,中楼层(共18层)2001年建塔楼,,-
东城,豆瓣胡同 ,2室1厅,71.3,980,137448,,南北,简装,有电梯,中楼层(共21层)2003年建板楼,,-
东城,安贞苑50号院 ,2室1厅,65.82,668,101489,房本满五年,南北,简装,无电梯,中楼层(共6层)1996年建板楼,,-
东城,六铺炕 ,2室1厅,58.28,660,113247,房本满五年,西北,精装,有电梯,底层(共16层)1992年建塔楼,,-
东城,什锦花园胡同21号院 ,3室1厅,62.72,800,127552,房本满五年,南北,简装,无电梯,中楼层(共5层)1985年建板楼,,-
东城,幸福北里 ,2室1厅,50.76,507,99882,房本满五年,东,精装,无电梯,中楼层(共5层)1990年建板楼,,-
东城,新景家园西区 ,2室1厅,75.29,790,104928,房本满五年,南北,精装,无,中楼层(共16层)2004年建板塔结合,,-
东城,青年湖南街 ,3室1厅,96.37,1010,104805,房本满五年,南北,精装,无电梯,顶层(共6层)1992年建板楼,,-
东城,朝阳门南小街 ,3室1厅,102.98,1100,106817,房本满五年,东西,精装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,交道口东大街 ,3室1厅,93.23,1180,126569,房本满五年,南北,简装,无,底层(共12层)2003年建板塔结合,,-
东城,当代MOMA ,3室1厅,205.43,2100,102225,房本满五年,西南,精装,无,中楼层(共21层)2008年建塔楼,,-
东城,天天家园 ,3室1厅,140.91,1195,84806,房本满五年,东南北,其他,有电梯,高楼层(共10层)2003年建板楼,,-
东城,金世纪嘉园 ,3室1厅,132.33,1320,99751,房本满五年,南,简装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,国瑞城中区 ,1室1厅,58.77,638,108559,房本满五年,南,简装,有电梯,低楼层(共16层)2006年建板塔结合,,-
东城,华府景园 ,2室2厅,102.87,1200,116653,房本满五年,西,精装,无,中楼层(共16层)2001年建塔楼,,-
东城,鼎盛园 ,2室1厅,84.48,630,74574,房本满五年,西,简装,有电梯,中楼层(共11层)2005年建板塔结合,,-
东城,东直门南大街 ,2室1厅,57.98,579,99863,房本满五年,东北,简装,有电梯,顶层(共18层)1991年建板塔结合,,-
东城,青年湖东里 ,1室1厅,47.53,470,98885,房本满五年,西,精装,无电梯,高楼层(共6层)1992年建板楼,,-
东城,东直门外小街8号院 ,2室1厅,63.36,520,82071,房本满五年,南北,精装,无,顶层(共6层)1995年建板楼,,-
东城,富贵园四区 ,1室1厅,57.18,695,121546,房本满五年,东,简装,无,中楼层(共10层)2006年建板塔结合,,-
东城,宝华家园 ,2室1厅,89.51,610,68149,房本满五年,西南,简装,无,中楼层(共24层)2000年建塔楼,,-
东城,培新街乙5号院 ,2室1厅,75.3,799,106109,房本满五年,东南,简装,有电梯,低楼层(共16层)1999年建板塔结合,,-
东城,建予园 ,2室1厅,77.75,580,74599,房本满五年,西南,简装,无,中楼层(共16层)2001年建塔楼,,-
东城,东花市北里中区 ,2室1厅,69,620,89856,房本满五年,东西,简装,无电梯,中楼层(共6层)1994年建塔楼,,-
东城,国瑞城东区 ,1室1厅,60.84,650,106838,房本满五年,南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,海运仓小区 ,1室1厅,47.87,585,122206,房本满五年,南,精装,无电梯,底层(共7层)2002年建板楼,,-
东城,民安小区东直门内北小街 ,4室1厅,118.46,1160,97924,房本满五年,东西北,毛坯,有电梯,底层(共16层)2003年建板楼,,-
东城,宝润苑 ,4室2厅,266.93,1750,65561,房本满五年,东西,简装,有电梯,低楼层(共14层)1999年建板塔结合,,-
东城,交道口东大街 ,2室1厅,77.8,1010,129821,,东南,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,民安小区东直门北中街 ,3室1厅,67.17,725,107936,,东南西,其他,无电梯,顶层(共6层)1988年建板楼,,-
东城,交道口东大街 ,2室1厅,61.94,800,129158,,西北,简装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,870,106998,,东西,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,左安浦园 ,3室1厅,114.13,918,80435,房本满五年,南北,其他,有电梯,高楼层(共16层)2004年建板塔结合,,-
东城,天利园 ,2室1厅,74,770,104055,房本满五年,东北,精装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,六铺炕 ,2室1厅,54.38,610,112174,房本满五年,东西,简装,无电梯,中楼层(共6层)1980年建板楼,,-
东城,万国城MOMA ,1室0厅,59.11,750,126883,房本满五年,南,精装,有电梯,中楼层(共27层)2004年建塔楼,,-
东城,安外西河沿 ,2室1厅,55.11,575,104337,房本满五年,南北,精装,有电梯,低楼层(共11层)1983年建板楼,,-
东城,培新街乙5号院 ,2室1厅,69.03,723,104738,房本满五年,东西北,精装,有电梯,低楼层(共16层)1999年建板塔结合,,-
东城,富贵园三区 ,3室1厅,95.95,930,96926,房本满五年,西南,精装,有电梯,中楼层(共18层)2002年建塔楼,,-
东城,白桥大街 ,2室1厅,54.94,490,89189,房本满五年,东北,其他,无,中楼层(共6层)1980年建板楼,,-
东城,青年沟 ,1室1厅,44.94,449,99911,房本满五年,南,简装,无电梯,低楼层(共6层)1996年建板楼,,-
东城,安德路47号院 ,2室1厅,58.52,550,93985,房本满五年,东西,精装,无电梯,低楼层(共6层)1995年建板楼,,-
东城,金鱼池西区 ,4室2厅,143.33,1000,69770,房本满五年,东北,毛坯,无,中楼层(共6层)2002年建板塔结合,,-
东城,仓夹道 ,3室1厅,88.45,1110,125495,房本满五年,东南北,精装,有电梯,低楼层(共23层)2003年建塔楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,866,106506,房本满五年,东西,简装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,沙子口路50号 ,3室1厅,131.49,830,63123,房本满五年,东南北,简装,无,高楼层(共18层)1998年建塔楼,,-
东城,青年湖南里 ,2室1厅,56.56,590,104315,房本满五年,南,简装,无,中楼层(共12层)1990年建板塔结合,,-
东城,左安浦园 ,2室1厅,62.38,505,80956,房本满五年,东,精装,有电梯,中楼层(共14层)2004年建板塔结合,,-
东城,新世界家园 ,2室2厅,123.26,1490,120883,房本满五年,南北,简装,有电梯,底层(共11层)2004年建板楼,,-
东城,和平里一区 ,2室1厅,52.64,520,98785,房本满五年,南,简装,有电梯,中楼层(共11层)1990年建板塔结合,,-
东城,沙子口路50号 ,3室1厅,120.83,785.3,64993,房本满五年,东西北,简装,无,中楼层(共18层)1998年建塔楼,,-
东城,本家润园三期 ,1室1厅,47.86,478,99875,房本满五年,北,精装,无,中楼层(共18层)2005年建塔楼,,-
东城,和平新城一期 ,2室1厅,109.38,980,89596,房本满五年,东南,精装,有电梯,中楼层(共19层)2003年建板塔结合,,-
东城,新景家园东区 ,2室1厅,81.44,930,114195,房本满五年,南北,精装,有电梯,底层(共18层)2005年建板塔结合,,-
东城,和平里七区 ,3室1厅,78.47,700,89207,房本满五年,东西,简装,无电梯,底层(共4层)1979年建板楼,,-
东城,海晟名苑 ,2室1厅,93.97,1250,133022,房本满五年,西,精装,有电梯,中楼层(共22层)2005年建板塔结合,,-
东城,西革新里108号院 ,2室1厅,93.09,670,71974,房本满五年,南北,简装,无电梯,低楼层(共6层)1997年建板楼,,-
东城,和平里六区 ,3室1厅,123.4,1180,95624,,东北,精装,有电梯,底层(共17层)1998年建塔楼,,-
东城,兴化西里 ,3室1厅,101.46,963,94915,,东西,精装,无电梯,顶层(共6层)2005年建板楼,,-
东城,悠胜美苑 ,3室2厅,70.17,842,119995,,东北,精装,有电梯,中楼层(共20层)2003年建板塔结合,,-
东城,西革新里112号院 ,2室2厅,104.9,750,71497,,南,精装,有电梯,高楼层(共19层)2001年建塔楼,,-
东城,法华南里 ,2室2厅,81.65,840,102879,,南北,精装,无电梯,中楼层(共6层)1994年建板楼,,-
东城,西革新里112号院 ,2室2厅,104.9,750,71497,房本满五年,南,精装,有电梯,高楼层(共19层)2001年建塔楼,,-
东城,丽水湾畔家园 ,3室2厅,139.91,1399,99993,房本满五年,南北,简装,有电梯,中楼层(共21层)2002年建塔楼,,-
东城,安德路47号院 ,1室1厅,36.7,370,100818,房本满五年,东西,简装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,竹杆胡同 ,1室1厅,55.47,700,126195,房本满五年,南,精装,无电梯,中楼层(共6层)2003年建板楼,,-
东城,富贵园一区 ,3室2厅,161.16,1900,117896,房本满五年,东南北,简装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,北京上舍 ,4室2厅,202.45,2050,101260,房本满五年,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
东城,兴隆都市馨园 ,3室2厅,92.1,970,105321,房本满五年,东,简装,无电梯,低楼层(共6层)2003年建板塔结合,,-
东城,富贵园四区 ,2室1厅,98.46,1200,121877,房本满五年,东北,精装,有电梯,低楼层(共6层)2006年建板楼,,-
东城,民安小区东直门内北小街 ,4室2厅,142.18,1350,94951,房本满五年,东,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,新奥洋房 ,4室1厅,263.27,1800,68371,房本满五年,东南北,精装,有电梯,顶层(共6层)2006年建板楼,,-
东城,花市枣苑一期 ,3室2厅,141.93,1500,105686,房本满五年,南西,简装,有电梯,高楼层(共18层)2002年建板塔结合,,-
东城,富贵园二区 ,2室1厅,80.83,710,87839,房本满五年,东北,精装,有电梯,低楼层(共18层)2003年建塔楼,,-
东城,金鱼池中区 ,2室1厅,72.67,720,99079,房本满五年,南北,简装,无电梯,底层(共6层)2002年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,75.09,830,110535,房本满五年,东,简装,无,高楼层(共14层)2003年建板楼,,-
东城,鸿安国际大厦 ,4室2厅,242.45,1560,64344,房本满五年,东西,其他,有电梯,高楼层(共12层)2002年建板塔结合,,-
东城,兴化西里 ,2室1厅,76.95,820,106563,房本满五年,东西,精装,无电梯,中楼层(共6层)2005年建板楼,,-
东城,中海紫御公馆 ,2室1厅,61.36,690,112452,房本满五年,东北,精装,有电梯,高楼层(共22层)2010年建板塔结合,,-
东城,安德路47号院 ,1室1厅,36.7,385,104905,房本满五年,西,精装,无,中楼层(共6层)1990年建板楼,,-
东城,朝阳门内大街 ,3室1厅,86.1,850,98723,房本满五年,南北,精装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,华龙美晟 ,3室1厅,122.98,983,79932,房本满五年,东南,精装,有电梯,中楼层(共12层)2009年建板塔结合,,-
